no,단어,뜻,등급,변형1,변형2
5,abort,유산하다,전문,,
13,absurd,불합리한,전문,,
25,accord,일치하다,전문,,
27,accumulate,축적하다,전문,,
33,acquaint,알리다,전문,,
35,acquisition,획득,전문,,
57,adverse,거꾸로의,전문,,
61,aesthetic,미적인,전문,,
65,affiliate,회원으로 가입시키다,전문,,
94,allocate,할당하다,전문,,
116,amplify,확대하다,전문,,
153,archive,기록보관소,전문,,
174,assault,습격,전문,,
196,attorney,변호사,전문,,
202,authentic,진짜의,전문,,
231,bankrupt,파산자,전문,,
299,bishop,주교,전문,,
307,blast,돌풍,전문,,
354,breed,기르다,전문,,
356,brew,양조하다,전문,,
369,brute,야수 짐승같은,전문,,
374,bulk,부피,전문,,
413,caption,표제,전문,,
430,cater,음식물을 마련하다,전문,,
431,cathedral,대성당,전문,,
450,chamber,방,전문,,
479,chronic,만성의,전문,,
540,commence,시작하다,전문,,
546,commodity,상품,전문,,
553,compatible,양립할 수 있는,전문,,
554,compel,억지로 -시키다,전문,,
555,compensate,배상하다,전문,,
558,compile,편찬하다,전문,,
564,component,구성하는 성분,전문,,
566,compound,성분 등을 혼합하다,전문,,
568,comprise,포함하다,전문,,
569,compromise,타협 타협하다,전문,,
570,compulsory,의무적인,전문,,
572,conceive,상상하다,전문,,
579,condemn,나무라다,전문,,
582,confer,주다,전문,,
596,consensus,(의견 등의)일치,전문,,
597,consent,승낙하다,전문,,
598,conserve,보존하다,전문,,
603,constitute,구성하다,전문,,
604,constrain,강제하다,전문,,
610,contemporary,현대의,전문,,
611,contend,싸우다,전문,,
618,contradict,반박하다,전문,,
625,convention,관례,전문,,
627,convert,바꾸다,전문,,
635,coordinate,동격의,전문,,
647,corridor,복도,전문,,
660,counterpart,부본,전문,,
663,county,주,전문,,
679,creek,시내,전문,,
680,creep,기다,전문,,
687,criteria,criterion의 복수형,전문,,
707,currency,통용,전문,,
709,curriculum,과목,전문,,
711,curse,저주,전문,,
714,custody,보호,전문,,
720,cynical,냉소적인,전문,,
744,decent,점잖은,전문,,
752,dedicate,봉납하다,전문,,
758,deficiency,결핍,전문,,
759,deficit,결손,전문,,
762,degrade,지위를 낮추다,전문,,
765,delegate,파견하다,전문,,
767,deliberate,숙고하다,전문,,
784,depict,묘사하다,전문,,
785,deposit,예금,전문,,
787,deprive,빼앗다,전문,,
795,designate,가리키다,전문,,
814,diabetes,당뇨병,전문,,
817,dictate,받아쓰게 하다,전문,,
823,dignity,위엄,전문,,
824,dimension,치수,전문,,
826,dine,저녁식사를 하다,전문,,
838,discharge,짐을부리다,전문,,
842,discourse,강연,전문,,
844,discriminate,분별하다,전문,,
851,displace,바꾸어놓다,전문,,
854,dispute,논쟁하다,전문,,
855,disrupt,분열시키다,전문,,
857,distort,찌그러뜨리다,전문,,
865,divine,신의,전문,,
875,dominant,우세한,전문,,
878,dose,1회복용량 투약하다,전문,,
884,draft,초고,전문,,
886,drain,배수하다,전문,,
889,dread,두려워하다 두려움,전문,,
897,dual,둘의,전문,,
927,elaborate,공들인,전문,,
939,embrace,포옹하다,전문,,
942,emit,방사하다,전문,,
954,enforce,실시하다,전문,,
962,enroll,명부에 올리다,전문,enrol,
969,entitle,자격을 주다,전문,,
976,equate,같게하다,전문,,
980,erect,똑바로 선,전문,,
987,estate,토지,전문,,
990,ethical,도덕상의,전문,,
