no,단어,뜻,등급,변형1,변형2
2,abandon,버리다,중고,,
3,able,할 수 있는,중고,,
4,aboard,배로,중고,,
8,abroad,외국으로,중고,,
9,absent,부재의,중고,,
10,absolute,절대의,중고,,
11,absorb,흡수하다,중고,,
12,abstract,추상적인,중고,,
14,abundant,풍부한,중고,,
15,abuse,남용,중고,,
17,accelerate,가속하다 속도가 가해지다,중고,,
19,accept,받아들이다,중고,,
20,access,접근,중고,,
22,accommodate,수용하다,중고,,
23,accompany,동반하다,중고,,
24,accomplish,이루다,중고,,
26,account,설명하다 계산,중고,,
28,accurate,정확한,중고,,
29,accuse,고발하다,중고,,
30,achieve,성취하다,중고,,
31,acid,산 신,중고,,
32,acknowledge,인정하다,중고,,
34,acquire,얻다,중고,,
38,activate,활동적으로 하다,중고,,
39,actual,현실의,중고,,
40,acute,날카로운,중고,,
41,adapt,적용시키다,중고,,
43,addict,열중하게 하다,중고,,
45,adequate,충분한,중고,,
46,adjust,맞추다,중고,,
47,administer,관리하다,중고,,
48,admire,감복하다,중고,,
49,admission,입장,중고,,
50,admit,받아들이다,중고,,
51,adolescent,청년기의,중고,,
52,adopt,채용하다,중고,,
54,advance,나아가다,중고,,
55,advantage,유리한 입장,중고,,
58,advertize,광고하다,중고,advertise,
60,advocate,변호사,중고,,
62,affair,일,중고,,
63,affect,영향을 주다,중고,,
64,affection,애정,중고,,
66,afford,여유가 있다,중고,,
73,agency,기능,중고,,
74,agenda,안건,중고,,
75,agent,대리인,중고,,
76,aggressive,침략적인,중고,,
79,agriculture,농업,중고,,
81,aid,도와 주다,중고,,
82,aim,겨누다,중고,,
85,aircraft,항공기,중고,,
88,aisle,측면복도,중고,,
89,alert,빈틈없는,중고,,
90,alien,외국의,중고,,
91,alike,비슷한,중고,,
92,alive,살아있는,중고,,
95,allow,허락하다,중고,,
96,ally,동맹하다,중고,,
100,alongside,-의 곁에,중고,,
105,alter,바꾸다,중고,,
106,alternative,어느 한쪽의 양자택일,중고,,
107,although,비록 -일지라도,중고,,
108,altogether,전혀,중고,,
111,amaze,깜짝 놀라게 하다,중고,,
112,ambassador,대사,중고,,
113,ambition,야심,중고,,
114,among,-중에,중고,,
115,amount,(금액이)-이 되다,중고,,
117,amuse,재미나게 하다,중고,,
118,analyze,분해하다,중고,analyse,
119,anchor,닻,중고,,
120,ancient,옛날의,중고,,
124,angle,각,중고,,
126,anniversary,기념일 예년의,중고,,
127,announce,알리다,중고,,
128,annoy,귀찮게하다,중고,,
129,annual,일년의,중고,,
133,anticipate,예기하다,중고,,
134,anxiety,근심,중고,,
135,anxious,걱정되는,중고,,
137,apart,떨어져서,중고,,
138,apology,사과,중고,,
139,apparent,명백한,중고,,
140,appeal,간청하다,중고,,
141,appear,나타나다,중고,,
143,applicant,지원자,중고,,
144,apply,(물건을)대다,중고,,
145,appoint,지정하다,중고,,
146,appreciate,감상하다,중고,,
147,approach,다가가다,중고,,
148,appropriate,적당한,중고,,
149,approve,시인하다,중고,,
150,approximate,어림셈의,중고,,
151,architect,건축가,중고,,
152,architecture,건축,중고,,
155,argue,논하다,중고,,
156,arise,생기다,중고,,
158,army,육군,중고,,
160,arrange,가지런히 하다,중고,,
161,arrest,체포하다,중고,,
163,arrow,화살,중고,,
165,article,물품,중고,,
166,artificial,인공의,중고,,
168,ash,회,중고,,
169,aside,곁에,중고,,
171,asleep,잠들은,중고,,
172,aspect,관점,중고,,
173,aspire,열망하다,중고,,
175,assemble,모으다,중고,,
176,assert,단언하다,중고,,
177,assess,(세금 등을)사정하다,중고,,
178,asset,자산,중고,,
179,assign,할당하다,중고,,
180,assist,돕다,중고,,
181,associate,연상하다,중고,,
182,assume,취하다,중고,,
183,assure,보증하다,중고,,
184,astonish,놀라게 하다,중고,,
186,athlete,운동가,중고,,
187,atmosphere,대기,중고,,
188,atom,원자,중고,,
189,attach,붙이다,중고,,
190,attack,공격하다,중고,,
191,attain,이르다,중고,,
192,attempt,시도하다,중고,,
193,attend,출석하다,중고,,
194,attention,주의,중고,,
195,attitude,태도,중고,,
197,attract,끌어 당기다,중고,,
198,attribute,속성,중고,,
199,auction,경매,중고,,
200,audience,청중,중고,,
203,author,저자,중고,,
204,autobiography,자서전,중고,,
205,automatic,자동의,중고,,
206,automobile,자동차 자동차의,중고,,
207,available,쓸모있는,중고,,
208,avenue,가로수길,중고,,
209,average,평균,중고,,
210,avoid,피하다,중고,,
211,await,기다리다,중고,,
212,awake,깨우다,중고,,
213,award,상,중고,,
214,aware,알고 있는,중고,,
216,awesome,무서운,중고,,
217,awful,두려운,중고,,
218,awkward,어색한,중고,,
224,balance,균형,중고,,
227,ban,금지,중고,,
229,bang,강타,중고,,
232,bar,막대기,중고,,
233,bare,벌거벗은,중고,,
234,bargain,매매,중고,,
235,bark,짖다,중고,,
236,barn,헛간,중고,,
237,barrier,장벽,중고,,
241,basis,기초,중고,,
249,bay,만,중고,,
252,beam,광선,중고,,
255,beard,턱수염,중고,,
256,beast,짐승,중고,,
257,beat,치다,중고,,
265,beer,맥주,중고,,
267,beg,청하다,중고,,
269,behalf,위함,중고,,
270,behave,행동하다,중고,,
271,behavior,행동,중고,behaviour,
275,belong,속하다,중고,,
277,bend,구부리다,중고,,
278,beneath,-의 바로 아래에,중고,,
279,benefit,이익,중고,,
280,berry,액과,중고,,
282,bet,걸다,중고,,
283,betray,배반하다,중고,,
285,beyond,저편에,중고,,
286,bias,치우침,중고,,
287,bible,"성서, 성경",중고,,
291,billion,10억,중고,,
292,bin,궤,중고,,
293,bind,매다,중고,,
294,biography,전기,중고,,
295,biology,생물학,중고,,
300,bit,bite의 과거(분사) 작은 조각,중고,,
302,bitter,쓴,중고,,
304,blame,책망하다,중고,,
305,blank,공백,중고,,
306,blanket,담요,중고,,
308,blend,혼합하다,중고,,
309,bless,축복하다,중고,,
310,blind,눈먼,중고,,
311,blink,(눈을)깜빡거리다,중고,,
313,blonde,(살결이 흰)금발의 여성,중고,,
315,bloom,쇳덩이,중고,,
316,blossom,(과수의)꽃,중고,,
317,blow,강타,중고,,
322,boil,끓다,중고,,
323,bold,대담한,중고,,
325,bond,결속,중고,,
328,boom,굉음,중고,,
329,boost,뒤를 밀기,중고,,
331,border,가장자리,중고,,
332,bore,고조,중고,,
336,bother,괴롭히다 근심하다 귀찮음,중고,,
339,bounce,뛰어오르다,중고,,
340,boundary,경계,중고,,
341,bow,절,중고,,
352,breast,가슴,중고,,
353,breathe,숨쉬다,중고,,
355,breeze,미풍,중고,,
357,brick,벽돌,중고,,
358,bride,신부,중고,,
360,brief,단시간의,중고,,
362,brilliant,빛나는,중고,,
364,broad,(폭이)넓은,중고,,
