no,단어,뜻,등급,변형1,변형2
1,a,하나의,초등,,
6,about,-에 대하여,초등,,
7,above,-보다 위에,초등,,
16,academy,학술원,초등,,
18,accent,액센트,초등,,
21,accident,뜻밖의 사건,초등,,
36,across,가로질러,초등,,
37,act,vi행동하다,초등,,
42,add,추가하다,초등,,
44,address,말을 걸다,초등,,
53,adult,성인,초등,,
56,adventure,모험 모험하다,초등,,
59,advise,충고하다,초등,,
67,afraid,두려워하여,초등,,
68,after,후에,초등,,
69,afternoon,오후,초등,,
70,again,다시,초등,,
71,against,…에 반대하여,초등,,
72,age,연령,초등,,
77,ago,이전에,초등,,
78,agree,동의하다,초등,,
80,ahead,전방에,초등,,
83,air,공기,초등,,
84,airplane,비행기,초등,plane,aeroplane
86,airline,정기항공,초등,,
87,airport,공항,초등,,
93,all,모든,초등,,
97,almost,거의,초등,,
98,alone,다만 홀로(혼자서),초등,,
99,along,-을 따라,초등,,
101,aloud,큰 소리로,초등,,
102,already,이미,초등,,
103,alright,더할나위없이,초등,,
104,also,-도 또한,초등,,
109,always,늘,초등,,
110,A.M.,오전,초등,a.m.,
121,and,및,초등,,
122,angel,천사,초등,,
123,anger,성,초등,,
125,animal,동물,초등,,
130,another,또 하나,초등,,
131,answer,대답,초등,,
132,ant,개미,초등,,
136,any,어떤,초등,,
142,apple,사과,초등,,
154,area,면적,초등,,
157,arm,팔,초등,,
159,around,사방에,초등,,
162,arrive,도착하다,초등,,
164,art,예술,초등,,
167,as,-와 같은 정도로,초등,,
170,ask,묻다,초등,,
185,at,-에서,초등,,
201,aunt,아주머니,초등,,
215,away,떨어져서,초등,,
219,baby,"갓난아이, 막내   관심사, 골치아픈 일,",초등,,
220,back,등,초등,,
221,background,배경,초등,,
222,bad,나쁜,초등,,
223,bake,굽다,초등,,
225,ball,공,초등,,
226,balloon,기구,초등,,
228,band,그룹,초등,,
230,bank,둑,초등,,
238,base,기초,초등,,
239,baseball,야구,초등,,
240,basic,기본의,초등,,
242,basket,바구니,초등,,
243,basketball,농구,초등,,
244,bat,배트,초등,,
245,bath,목욕,초등,,
246,bathroom,욕실,초등,,
247,battery,전지,초등,,
248,battle,전투,초등,,
250,be,-이다,초등,,
251,beach,해안,초등,,
253,bean,콩,초등,,
254,bear,나르다,초등,,
258,beauty,아름다움,초등,,
259,because,왜냐하면,초등,,
260,become,-이 되다,초등,,
261,bed,침대,초등,,
262,bedroom,침실 성적인,초등,,
263,bee,꿀벌,초등,,
264,beef,쇠고기,초등,,
266,before,앞에,초등,,
268,begin,시작하다,초등,,
272,behind,뒤에,초등,,
273,believe,믿다,초등,,
274,bell,종,초등,,
276,below,아래에,초등,,
281,beside,-의 곁에,초등,,
284,between,-의 사이에 사이에,초등,,
288,bicycle,자전거 자전거를 타다,초등,,
289,big,큰,초등,,
290,bill,계산서,초등,,
296,bird,새,초등,,
297,birth,출생,초등,,
298,birthday,생일,초등,,
301,bite,물다,초등,,
303,black,검은,초등,,
312,block,덩어리,초등,,
314,blood,피,초등,,
318,blue,푸른,초등,,
319,board,널빤지,초등,,
320,boat,배,초등,,
321,body,신체,초등,,
324,bomb,폭탄 폭격하다,초등,,
326,bone,뼈,초등,,
327,book,책,초등,,
330,boot,목이 긴 구두,초등,,
333,borrow,빌다,초등,,
334,boss,두목,초등,,
335,both,쌍방의,초등,,
337,bottle,병,초등,,
338,bottom,밑바닥,초등,,
342,bowl,사발,초등,,
343,boy,소년,초등,,
344,brain,뇌,초등,,
345,brake,브레이크,초등,,
346,branch,가지,초등,,
347,brand,상표,초등,,
348,brave,용감한,초등,,
349,bread,빵,초등,,
350,break,부수다,초등,,
351,breakfast,아침밥,초등,,
359,bridge,다리,초등,,
361,bright,밝은,초등,,
363,bring,가져오다,초등,,
366,brother,형제,초등,,
367,brown,갈색의 갈색,초등,,
368,brush,솔,초등,,
370,bubble,거품 거품이 일다,초등,,
372,bug,벌레,초등,,
373,build,짓다,초등,,
382,burn,시내,초등,,
386,business,직업,초등,,
387,busy,바쁜,초등,,
388,but,그러나 다만 (-을)제외하고,초등,,
390,button,단추 단추를 채우다 단추로 채워지다,초등,,
391,buy,사다,초등,,
393,by,곁에,초등,,
397,cage,새장,초등,,
399,calendar,달력,초등,,
